レースID,開催日,着順,枠番,馬番,馬名,馬ID,性齢,斤量,騎手,騎手ID,人気,単勝オッズ,タイム,着差,通過順,上がり3F,調教師,調教師ID,馬体重
202601040601,20260104,1,7,14,フュルスティン,2023100583,牝3,55.0,横山武史,01170,1.0,1.4,1:12.7,,②①,38.9,[美]加藤士津,01169,470(＋4)
202601040601,20260104,2,8,15,プラチナムディスク,2023102383,牝3,53.0,△長浜鴻,01214,7.0,25.9,1:13.0,２,⑦⑤,38.4,[美]小笠倫弘,01076,448(＋2)
202601040601,20260104,3,8,16,アクロスメモリア,2023102399,牝3,55.0,戸崎圭太,05386,4.0,14.3,1:13.5,３,⑤③,39.2,[美]田島俊明,01112,476(0)
202601040601,20260104,4,6,12,レースクイーン,2023101563,牝3,55.0,江田照男,00689,14.0,161.0,1:13.8,２,⑤⑦,39.4,[美]蛯名利弘,01131,410(－18)
202601040601,20260104,5,4,7,ラストシャイニー,2023105803,牝3,55.0,矢野貴之,05380,5.0,22.4,1:14.0,１,⑧⑧,39.2,[美]千葉直人,01199,428(－2)
202601040601,20260104,6,3,6,バーヴァンシー,2023104394,牝3,52.0,▲舟山瑠,01221,11.0,54.4,1:14.0,ハナ,⑮⑮,38.5,[美]村田一誠,01190,486(＋2)
202601040601,20260104,7,2,4,マメーアップル,2023100924,牝3,55.0,荻野極,01160,3.0,7.9,1:14.1,3/4,③③,40.1,[美]岩戸孝樹,01051,438(＋10)
202601040601,20260104,8,6,11,マリノレーヴェ,2023100807,牝3,55.0,横山琉人,01192,2.0,7.1,1:14.3,１1/2,⑩⑨,39.3,[美]鈴木慎太,01179,480(＋6)
202601040601,20260104,9,3,5,メインテーマ,2023103571,牝3,55.0,内田博幸,00422,8.0,43.3,1:14.4,クビ,①②,40.6,[美]小手川準,01171,488(＋6)
202601040601,20260104,10,7,13,ミルトメロディー,2023100397,牝3,55.0,原優介,01184,10.0,49.6,1:14.8,２1/2,④⑤,40.6,[美]青木孝文,01156,426(－2)
202601040601,20260104,11,2,3,ファストワーカー,2023100239,牝3,55.0,菊沢一樹,01161,12.0,78.0,1:15.2,２1/2,⑩⑬,40.1,[美]伊藤大士,01109,496(－2)
202601040601,20260104,12,5,9,タマモシルエット,2023103253,牝3,55.0,丹内祐次,01091,6.0,22.4,1:15.3,クビ,⑩⑩,40.2,[美]伊藤圭三,01023,468(0)
202601040601,20260104,13,5,10,ウィザードオブマリ,2023100805,牝3,52.0,▲石田拓,01203,15.0,266.3,1:15.4,3/4,⑩⑩,40.4,[美]蛯名利弘,01131,452(－4)
202601040601,20260104,14,1,1,ジーナグレイス,2023107385,牝3,55.0,丸山元気,01127,13.0,118.8,1:15.8,２,⑭⑬,40.6,[美]田中勝春,01207,422(－10)
202601040601,20260104,15,4,8,トウシンラヴ,2023103100,牝3,55.0,菅原明良,01179,9.0,46.6,1:16.4,３1/2,⑧⑩,41.5,[美]高柳瑞樹,01118,446(－2)
202601040601,20260104,16,1,2,フロリスタン,2023109013,牝3,55.0,原田和真,01143,16.0,362.7,1:17.0,３1/2,⑮⑮,41.6,[美]松山将樹,01100,474(－6)
202601040602,20260104,1,4,4,フィンガー,2023102813,牡3,57.0,戸崎圭太,05386,1.0,1.3,1:54.5,,①①①①,37.9,[美]田中博康,01162,548(＋6)
202601040602,20260104,2,6,8,ニシノモリミチ,2023100362,牡3,57.0,菅原明良,01179,3.0,6.9,1:56.4,大差,②②②②,39.6,[美]高木登,01088,492(＋4)
202601040602,20260104,3,5,7,ゴーフォアブローク,2023100629,牡3,55.0,△長浜鴻,01214,2.0,6.1,1:56.9,２1/2,⑦⑦⑦⑦,39.5,[美]手塚貴久,01038,528(－2)
202601040602,20260104,4,2,2,オルブライト,2023101644,牡3,57.0,大野拓弥,01096,4.0,13.0,1:57.1,１1/4,⑩⑩⑩⑤,39.3,[美]杉浦宏昭,01008,470(－2)
202601040602,20260104,5,8,13,シンエンドーツダ,2023103621,牡3,57.0,菊沢一樹,01161,6.0,39.1,1:57.5,２1/2,⑧⑨⑨⑨,39.9,[美]萱野浩二,01024,472(＋4)
202601040602,20260104,6,5,6,タイガーゲイト,2023102964,牡3,57.0,丹内祐次,01091,12.0,206.5,1:58.1,３1/2,③③④⑤,40.9,[美]大和田成,01124,476(0)
202601040602,20260104,7,1,1,クリュメノス,2023102107,牡3,54.0,▲石田拓,01203,8.0,117.6,1:58.3,１1/2,⑬⑬⑫⑫,40.0,[美]小西一男,00405,478(＋6)
202601040602,20260104,8,3,3,インスウィング,2023101444,セ3,57.0,原優介,01184,11.0,195.2,1:58.4,クビ,③③③③,41.3,[美]青木孝文,01156,508(＋4)
202601040602,20260104,9,6,9,タニセンローマ,2023101095,牡3,57.0,岩田康誠,05203,7.0,51.3,1:58.8,２1/2,③③④⑨,41.5,[美]斎藤誠,01086,464(＋4)
202601040602,20260104,10,8,12,トーセンシーギリヤ,2023100588,牡3,57.0,原田和真,01143,9.0,144.9,1:59.2,２,⑥⑥④③,41.9,[美]土田稔,00417,488(＋22)
202601040602,20260104,11,7,10,モリインビクタス,2023106582,牡3,54.0,▲遠藤汰,01218,10.0,184.1,1:59.3,3/4,⑫⑫⑪⑪,41.1,[美]伊藤伸一,01031,476(0)
202601040602,20260104,12,4,5,ブルージェネシス,2023101798,牡3,57.0,荻野極,01160,5.0,22.8,2:00.6,８,⑧⑦⑦⑦,43.2,[美]菊川正達,01052,450(＋8)
202601040602,20260104,13,7,11,クラウンプレゼンタ,2023100795,牡3,57.0,内田博幸,00422,13.0,258.3,2:01.0,２,⑪⑪⑬⑬,42.0,[美]天間昭一,01090,470(－2)
202601040603,20260104,1,7,14,エアサロメ,2023103341,牝3,55.0,矢野貴之,05380,4.0,8.3,1:13.2,,②②,37.7,[美]大竹正博,01102,460(---)
202601040603,20260104,2,7,13,ベセル,2023103048,牡3,57.0,菊沢一樹,01161,5.0,12.8,1:14.3,７,③③,38.6,[美]蛯名正義,01191,502(---)
202601040603,20260104,3,8,16,アンチェーン,2023104668,牝3,55.0,三浦皇成,01122,2.0,3.4,1:15.2,５,③⑤,39.4,[美]嘉藤貴行,01195,518(---)
202601040603,20260104,4,6,12,シンクシビリティ,2023101349,牝3,55.0,原優介,01184,13.0,103.3,1:15.3,1/2,⑥⑤,39.1,[美]青木孝文,01156,432(---)
202601040603,20260104,5,2,3,マイニオサラスタス,2023104853,牝3,53.0,△長浜鴻,01214,10.0,71.4,1:15.3,ハナ,⑤④,39.2,[美]石栗龍彦,01043,390(---)
202601040603,20260104,6,5,9,ブロッコロ,2023100999,牝3,55.0,小林脩斗,01183,9.0,56.6,1:15.6,２,⑨⑦,39.0,[美]堀内岳志,01189,436(---)
202601040603,20260104,7,8,15,スナップジジ,2023101469,牡3,57.0,原田和真,01143,11.0,72.5,1:15.9,１3/4,①①,40.5,[美]堀内岳志,01189,506(---)
202601040603,20260104,8,2,4,アスクホープマン,2023106398,牡3,54.0,▲大久保,01194,6.0,24.4,1:16.0,クビ,⑮⑮,37.5,[美]久保田貴,01067,470(---)
202601040603,20260104,9,1,2,イセッセイ,2023106294,牝3,52.0,▲遠藤汰,01218,15.0,118.5,1:16.0,クビ,⑦⑦,39.7,[美]伊藤伸一,01031,436(---)
202601040603,20260104,10,1,1,ボビネット,2023102368,牝3,55.0,吉田豊,00733,12.0,102.0,1:16.0,ハナ,⑭⑭,38.2,[美]和田雄二,01143,438(---)
202601040603,20260104,11,4,7,デザートイーグル,2023106675,牡3,57.0,荻野極,01160,1.0,2.6,1:16.1,クビ,⑦⑦,39.8,[美]加藤士津,01169,494(---)
202601040603,20260104,12,6,11,ニシノラン,2023104696,牡3,57.0,田辺裕信,01075,3.0,5.1,1:16.2,1/2,⑨⑩,39.6,[美]柄崎将寿,01208,506(---)
202601040603,20260104,13,4,8,ファイナルフォーム,2023109038,牡3,54.0,▲石神深,01209,7.0,28.6,1:16.3,1/2,⑫⑫,39.3,[美]矢野英一,01108,464(---)
202601040603,20260104,14,5,10,ティスマイル,2023101205,牝3,55.0,丹内祐次,01091,8.0,29.5,1:16.9,４,⑬⑫,39.7,[美]伊藤圭三,01023,438(---)
202601040603,20260104,15,3,6,エールオンマインド,2023104147,牡3,57.0,西村太一,01131,14.0,110.3,1:17.5,３1/2,⑪⑩,40.8,[美]堀内岳志,01189,438(---)
202601040603,20260104,除外,3,5,ディルガーム,2023107301,牡3,57.0,横山武史,01170,,,,,⑯⑯,,[美]伊藤圭三,01023,516(---)
202601040604,20260104,1,6,7,サトノリシャール,2023103894,牡3,57.0,岩田康誠,05203,3.0,4.1,1:55.2,,⑦⑦④②,40.5,[栗]福永祐一,01203,480(0)
202601040604,20260104,2,2,2,パラダイスフェイス,2023104103,牡3,57.0,丸山元気,01127,6.0,20.9,1:55.2,クビ,⑨⑨⑧⑤,40.0,[美]牧光二,01106,506(＋8)
202601040604,20260104,3,5,5,カシマライフウ,2023105439,牡3,57.0,松岡正海,01085,2.0,2.9,1:56.0,５,⑧⑧⑥⑤,41.0,[美]伊藤伸一,01031,470(＋2)
202601040604,20260104,4,7,9,ニシノロッドマン,2023104706,牡3,57.0,野中悠太,01158,9.0,63.8,1:56.0,クビ,⑩⑩⑩⑨,40.4,[美]矢嶋大樹,01202,512(＋6)
202601040604,20260104,5,4,4,コイオステソーロ,2023104193,牡3,57.0,菅原明良,01179,5.0,16.4,1:56.1,3/4,①①①①,41.6,[美]高木登,01088,522(－4)
202601040604,20260104,6,6,8,アラビアンドリーム,2023102398,牡3,57.0,横山武史,01170,1.0,2.7,1:56.5,２,②②②②,41.9,[美]栗田徹,01127,498(－6)
202601040604,20260104,7,1,1,ガーディアンテイル,2023106958,牡3,57.0,内田博幸,00422,7.0,28.7,1:56.6,3/4,⑤④④⑤,41.8,[美]小手川準,01171,508(＋2)
202601040604,20260104,8,3,3,コスモラムバック,2023106452,牡3,57.0,丹内祐次,01091,10.0,72.9,1:57.7,７,⑫⑫⑫⑫,41.1,[美]水野貴広,01094,504(＋2)
202601040604,20260104,9,8,12,コパノミラノ,2023101578,牡3,57.0,柴田大知,01009,11.0,100.9,1:58.2,３,⑥⑥⑧⑧,43.1,[美]上原博之,00423,494(－2)
